용어,설명
정확도,"일반적인 통계학적 의미로 정확도는 계산된 값이나 추정값이 참값(True value)에 얼마나 가까이 있는가 하는 측도를 말한다. 구체적으로 (i) 추정량에서 정확도는 불편성을 의미하고, (ii)표준오차의 역수로 나타내질 때는 정도(Precision)를 나타낸다"
"제2금융권 (non-bank financial institution, 동의어: 비은행금융기관)","제2금융권은 전형적인 금융기관인 은행과 대비하여 1980년대 이후 급신장한 보험회사, 신탁회사, 증권회사, 종합금융회사 등을 일컫는 비공식적인 용어이며 주로 언론을 통해 보급된 말로 비은행금융기관이라고도 한다. "
제2차 소득분배계정,제2차 소득분배계정은 소득분배의 두번째 단계를 나타내는 계정으로서 각 제도단위 또는 제도부문이 지급 또는 수취하는 모든 경상이전(사회적 현물이전 제외)을 기록함으로써 제1차 분배계정의 본원소득 잔액에서 가처분소득이 산출되는 과정을 보여줌
제3채무자 (第三債務者),"어떤 채권관계의 채무자에게 채무가 있는 제3자를 원래의 채권관계의 채권자에 대하여 제3채무자라고 한다. 예를 들면 갑이 을에 대하여 채권을 가지고 다시 을이 병에 대하여 채권을 가질 경우, 병을 제3채무자라고 한다. 예를 들면 갑이 을에 대하여 채권을 가지고 다시 을이 병에 대하여 채권을 가질 경우, 병을 제3채무자라고 한다. 보통의 경우 채권관계의 채권자와 제3채무자는 아무런 이해관계가 없으나, 원래의 채권관계의 채무자가 채무자의 채권을 압류한 경우 또는 채무자가 채권을 질입(質入)한 경우에는 그 채권자오 제3채무자 간에 이해관계가 생긴다. 제3채무자는 압류채권자 또는 질권자에 대하여 법률상 이해관계가 있는 제3자이므로 당연히 대위변제에 관한 적용을 받게 된다. "
제도부문,"제도부문이란 개별 제도단위(institutional unit)의 집합으로써, 생산자의 유형 및 경제활동과 기능을 기준으로 분류된다. 1993 SNA에서는 한 경제를 구성하는 제도부문을  비금융법인, 금융법인, 일반정부, 가계에 봉사하는 비영리단체, 가계 등 상호배타적인 다섯개의 제도부문으로 분류한다."
제로금리(정책) (ZIR: Zero Interest Rate),"1999년 2월 12일 일본은행은 콜금리를 0.25～0.15% 전후로 인하한 데 이어 3월 콜시장에 다시 대규모 자금을 공급함으로써 금리를 0.02%까지 떨어뜨렸다. 이 같은 일본은행의 초저금리 정책은 단기금리를 사실상 0%에 가깝게 유도하는 것이라는 점에서 (실질)제로금리 정책이라고 부른다. 일본은 그 이전인 1980년대 후반부터 10여 차례에 걸쳐 금리인하 조치를 취해 왔으며, 결국은 자본주의 역사상 전례가 없는 제로금리까지 떨어지게 되었다. 일본은행의 이 같은 제로금리 정책은 내수자극을 통한 경기회복, 엔화 강세 저지, 기업의 채무부담 경감, 금융회사들의 부실채권 부담 완화 등 여러 측면의 효과를 겨냥한 것이지만, 연금생활자와 저축자들에게는 불리하게 작용한다. "
제로쿠폰 스왑 (zero coupon swap),"금리조건스왑 (interest term swap)과 유사하다. 한 당사자는 변동금리를 지급하고 다른 당사자는 고정금리를 지급하는 반면, 금리조건스왑에서는 두 당사자가 정기적으로 서로 금리를 지급하지만, 제로쿠폰스왑에서는 변동금리는 스왑기간 동안 정기적으로 지급되나 고정금리는 계약만기에 단 한번 지급된다. 기법이 제로쿠폰본드(zero coupon bond)를 이용하여 이루어지므로 이렇게 부른다. 차입자 A가 변동금리로 차입하기를 원하나 zero coupon bond를 발행하는 것이 금리면에서 유리하다고 생각하는 경우, A는 zero coupon bond를 발행하고 금리스왑을 하며 정기적으로 변동금리를 지급하고 채권의 발행가격과 만기의 채권가격과의 차이에 해당하는 금액을 지급받는 계약을 약정하게 된다. 이 기법은 1984년 6월, Morgan Guaranty Trust Co.가 개발하였다. "
제로쿠폰 채권 (ZCB: Zero Coupon Bond),"쿠폰금리없이 발행가격을 이자에 의하여 할인, 발행하는 채권을 말한다. 상환기간까지 이자지급이 없는 채권으로서 보통 발행시점에서 만기시 지급 액면총액에 대해 할인 형식으로 발행되는 채권인 제로쿠폰채의 경우는 보통 사채와는 달리 표면이자가 없기 때문에 재투자 수익이 없고 이에 따라 재투자 수익률 위험도 없다. 투자자 입장에서 보면 이자율 상승시 높은 이자율로 재투자할 수 있는 기회가 없기 때문에 이표채에 비하여 금리변동에 따른 가격 변동성이 크게 나타나는 특징이 있다. 따라서 발행인은 이자지급의 부담이 없으며 투자자의 경우, 이자소득 대신에 자본소득을 얻게 되므로 자본소득에 대한 과세율이 낮은 일본, 서독, 영국, 벨기에 등에서 장점이 있다. 만기가 보통 채권보다 장기이므로 발행비용이 낮다. "
제조업,"물질 또는 구성요소에 물리적, 화학적 작용을 가하여 새로운 제품으로 전환시키는 산업활동을 말한다. 따라서 단순히 상품을 선별·분리·포장·재포장하는 경우 등과 같이 그 상품의 본질적 성질을 변화시키지 않는 처리활동은 제조활동으로 보지 않는다. 이러한 제조활동은 공장이나 가내에서 동력기계 및 수공으로 이루어질 수 있으며 생산된 제품은 도매나 소매형태로 판매될 수 있다"
제조업가동률지수,제조업 생산설비의 가동상태 추이를 나타내는 지수. 가동률지수는 설비가동의 절대수준을 나타내는 것이 아니라 기준년도의 가동률을 100으로 하였을 때 비교시의 가동상태가 어느 수준인가를 나타낸다
제조업생산능력지수,"제조업체가 주어진 조건 하에서 인력, 설비, 조업시간 등이 정상적으로 생산에 투입되는 상황에서 달성할 수 있는 최대 생산가능량을 지수로 나타낸 것이다."
제조원가명세서,"제조원가명세서는 재무제표의 부속명세서의 하나로서 제품 제조에 소비된 원가의 계산명세를 나타내며 당기제품제조원가는 당기에 발생한 재료비, 노무비, 경비 등의 당기총제조비용에서 기초재공품원가를 더하고 기말재공품원가와 타계정 대체액을 차감하여 계상하게 된다."
제표,"집계는 조사표에 기입된 개별적인 신고를 통계숫자의 형태로 편성, 정리한 것이다. 그러나 조사단위는 각각 통계집단의 각 단위로 볼 때는 어떤 점에서는 같으나 기타의 점에서는 무한한 이질성을 갖고 있다. 따라서 통계집단의 크기뿐만 아니라, 그 구조를 볼 때는 집계는 각 단위를 공통의 표식을 갖는 집단으로 정리한다는 작업을 반드시 수반한다. 일반적으로 분류와 집계라고 하는 단계를 거쳐서 최후로 목적하는 결과표가 작성되는 것으로, 이와 같은 3단계를 총합하여 제표라고 한다."
조기상환옵션,대상자산의 현금흐름을 조절하여 고정된 원리금을 투자자에게 제공하는 정기지급방식(Pay Through)에 환매사유 발생시 환매대금을 잔존 선순위채권 비율로 조기상환 할 수 있는 옵션을 SPC에 부여하고 추가로 정기지급방식(Pass Through) 이 가미된 혼합의 ABS발행 방식이다. 
조사,"사란 인간생활과 그를 둘러싸고 있는 환경 전반에 걸쳐 정보를 얻기 위해 행해지는 행위이다. 따라서 조사는 관찰대상에 대해 알고자 하는 항목들의 집합되어진 성질과 관계를 갖게되며, 전수조사(Census)와 표본조사로 구분된다."
조사구,"조사대상 누락이나 중복을 방지하기 위하여 조사담당구역을 명확히 하며, 조사원의 업무량을 적정하게 배분하고, 각종 통계조사의 표본틀을 제공하기 위하여 분할 설정한 조사구역단위이다."
조사기간,통계조사시에 조사하는 시간의 길이를 말하는 것으로 데이타가 얻어진 시간이다. 
조사망률,"사망수준을 나타내는 가장 기본적인 지표로 연간의 총사망자수를 당해 년도의 주민등록에 의한 연앙인구로 나눈 수치를 1,000분비로 나타낸 비율이다."
조사방법,"조사에서 얻고자하는 원자료(raw data)를 수집하는 방법을 말한다. 타계식 조사방법은 조사원이 조사표의 설문에 따라 피조사자에 문의하여 답을 구하고 그 답을 조사원이 조사표에 기입하는 조사방식이며, 자계식 조사방법은 피조사자가 조사표의 설문에 대해 직접 그 답을 조사표에 기입하는 조사방식이다. 우편조사는 조사원이 피조사자를 방문하는 대신 조사표를 우편으로 발송하여 피조사자가 자계식으로 조사표를 작성한 후 이를 우편으로 제출토록 하는 방식이다. 한편, 최근에는 컴퓨터의 사용이 늘어나면서, 컴퓨터를 이용한 면접조사(CAPI), 컴퓨터를 이용한 자계식조사(CASI), 인터넷조사 등이 크게 증가되고 있다."
조사원,"통계조사시에 조사표를 갖고 피조사자와 접하여 조사를 실제로 담당하는 사람을 말한다. 면접조사, 전화조사, 우편조사 등의 방법으로 조사를 수행하며 조사원의 자질에 따라 얻어지는 자료의 질이나 양이 달라질 수 있다."
조사표,"조사표는 집단이나 연속적인 대상과 문제에 대한 정보를 도출하는데 고안되어진 질문의 형식을 취하며, 리스트(List)와 같은 통상적인 의미와는 다르다. 조사표의 양식에는 단기표(Individual schedule), 연기표(Collective schedule) 및 가구표(Households schedule) 등이 있으며 그 사용은 조사방법, 집계방법 및 경비 등을 고려하여 정한다."
"조세 (租稅, tax)","국가나 지방자치단체가 그 경비에 충당할 재력을 얻기 위하여 반대급부 없이 일반국민으로부터 강제적으로 징수하는 금전 또는 재물을 말한다. 국가나 지방자치단체가 과징하는 점에서 조합비, 회비 등과 다르고, 재력을 얻을 목적으로 하는 점에서 처벌을 목적으로 하는 벌금, 과태료, 몰수 등과 구별되며, 반대급부 없이 과징하는 점에서 사용료, 수수료 등과 구별된다. 또한 일반국민에게 과징하는 점에서 특정 공익사업에 이해관계가 있는 자에게서 징수하는 부담금과 다르고, 강제적으로 부과, 징수하는 점에서 관유재산수입, 관공사업수입과 구별된다. 조세는 징수의 목적이 과세 주체의 일반경비를 지변(支辯)하기 위한 것인 점에서 일반적 수입이다. 조세를 목적세라고도 하는데, 특정한 경비에 충당하기 위하여 특정한 조세를 부과하는 경우에 목적세라고 한다. "
